subfamily,n_test,n_train,loss,Gs_f1,Gs_acc,Gi/o_f1,Gi/o_acc,Gq/11_f1,Gq/11_acc,G12/13_f1,G12/13_acc,min_acc
004_002_002_003,3,736,0.379743754863739,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
004_002_002_004,3,736,0.3484191298484802,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
004_002_002_005,3,736,0.6718401908874512,0.0,0.9999999966666667,0.0,0.0,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0
004_002_002_006,3,736,0.3477768003940582,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
004_002_002_007,3,736,0.3474183976650238,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
004_002_002_008,3,736,0.34760376811027527,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_003_002,3,736,0.3469710350036621,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_008_001_002,3,736,0.34735798835754395,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_005_001,4,735,0.6136497855186462,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_001_005_002,3,736,0.40996286273002625,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_005_003,3,736,0.3641654849052429,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_005_004,3,736,0.7486554384231567,0.0,0.9999999966666667,0.0,0.0,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0
001_002_012_001,3,736,0.7019428014755249,0.0,0.9999999966666667,0.0,0.6666666644444444,0.49999999375000004,0.3333333322222222,0.0,0.9999999966666667,0.3333333322222222
001_004_003_001,4,735,0.9854379296302795,0.0,0.9999999975,0.0,0.0,0.9999999925,0.9999999975,0.0,0.9999999975,0.0
001_004_003_003,3,736,0.43875831365585327,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_003_005,3,736,0.9997406005859375,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.0,0.0
001_004_003_006,4,735,1.3361061811447144,0.0,0.9999999975,0.0,0.9999999975,0.0,0.0,0.0,0.0,0.0
001_003_003_002,5,734,0.277781315788161,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
001_004_002_001,4,735,0.6668931245803833,0.0,0.9999999975,0.9999999925,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_004_002_002,3,736,0.5797154903411865,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.799999992,0.6666666644444444,0.0,0.9999999966666667,0.6666666644444444
001_002_014_004,5,734,0.2751417584659066,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
001_002_014_005,4,735,0.549945056438446,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_013_001,3,736,0.5706754922866821,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_014_001,4,735,0.5504412055015564,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_005_001_001,3,736,0.34775251150131226,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_005_001_002,3,736,0.34768712520599365,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_029_001,3,736,0.34763625264167786,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_029_002,4,735,0.5498467683792114,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_029_003,3,736,0.34744036197662354,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_003_001,3,736,0.34698888659477234,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_016_001,3,736,0.34721827507019043,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_016_002,4,735,0.5497487783432007,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_019_001,4,735,0.8096324801445007,0.0,0.9999999975,0.9999999925,0.9999999975,0.8571428497959185,0.7499999981250001,0.0,0.9999999975,0.7499999981250001
001_002_017_002,3,736,0.35030609369277954,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_018_001,3,736,1.0766890048980713,0.0,0.0,0.0,0.9999999966666667,0.0,0.0,0.0,0.9999999966666667,0.0
001_002_020_001,4,735,0.550087571144104,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_020_002,4,735,0.563893735408783,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_020_003,3,736,0.36740344762802124,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_020_004,3,736,0.3691549599170685,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_021_001,3,736,0.3472461402416229,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_021_002,3,736,0.3478446900844574,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_009_001_003,3,736,0.49037736654281616,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_022_001,3,736,0.34722816944122314,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_022_002,4,735,0.5499426126480103,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_022_003,4,735,0.5501028895378113,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_022_004,3,736,0.34739917516708374,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_009_001_005,5,734,0.06499505415558815,0.0,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
001_009_001_001,6,733,0.008952081203460693,0.0,0.9999999983333333,0.0,0.9999999983333333,0.0,0.9999999983333333,0.0,0.9999999983333333,0.9999999983333333
001_009_001_006,4,735,0.015527918934822083,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_009_001_007,3,736,0.02520253323018551,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_023_001,4,735,0.5500624775886536,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_023_002,3,736,0.3473292887210846,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_008_002_001,3,736,0.6199537515640259,0.0,0.9999999966666667,0.799999992,0.6666666644444444,0.799999992,0.6666666644444444,0.0,0.9999999966666667,0.6666666644444444
001_002_032_004,4,735,0.55042964220047,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_006_002_001,5,734,0.2765374517766759,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
001_006_002_002,3,736,0.3517194986343384,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_006_002_003,3,736,0.34838083386421204,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_006_002_004,3,736,0.34793153405189514,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_006_002_006,3,736,0.36266499757766724,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_006_002_007,3,736,0.3476407825946808,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_006_002_008,4,735,0.5504869222640991,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
002_001_005_001,4,735,0.9328030347824097,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.0,0.0,0.9999999975,0.0
001_002_026_001,4,735,0.5534632802009583,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_026_002,4,735,0.5502389669418335,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_026_003,4,735,0.5502277612686157,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_026_004,3,736,0.34984904527664185,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_008_002,3,736,0.511512279510498,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_008_001,4,735,0.5506656765937805,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_004_008_003,3,736,0.6314601898193359,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_008_004,3,736,0.352665513753891,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_008_005,4,735,1.1391618251800537,0.0,0.9999999975,0.0,0.0,0.0,0.0,0.0,0.9999999975,0.0
001_004_008_006,4,735,1.1295220851898193,0.0,0.0,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0
001_004_008_007,4,735,0.8323886394500732,0.0,0.9999999975,0.0,0.9999999975,0.8571428497959185,0.7499999981250001,0.0,0.9999999975,0.7499999981250001
001_004_008_008,4,735,0.55423903465271,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_003_004_001,4,735,0.5498756170272827,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_003_004_002,4,735,0.550007164478302,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_025_001,4,735,0.5516851544380188,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_004_007_001,4,735,0.5702748894691467,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
002_001_004_001,4,735,0.698292076587677,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_024_001,3,736,0.7143183946609497,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.799999992,0.6666666644444444,0.0,0.9999999966666667,0.6666666644444444
001_002_027_001,3,736,0.34772080183029175,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_004_001,5,734,0.2958188094198704,0.0,0.9999999980000001,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
001_004_004_002,4,735,1.4327542781829834,0.0,0.9999999975,0.0,0.9999999975,0.0,0.0,0.0,0.0,0.0
001_004_004_005,3,736,0.35624924302101135,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
002_001_003_006,3,736,0.3476737439632416,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_028_001,3,736,0.34759512543678284,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_028_002,4,735,0.5497483611106873,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_028_003,3,736,0.34735217690467834,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_028_004,3,736,0.3471061587333679,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_028_005,4,735,0.5500831007957458,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_008_003_001,3,736,0.6334810853004456,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.6666666644444444,0.0,0.9999999966666667,0.6666666644444444
001_004_008_009,4,735,0.6001824736595154,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_001_006_001,3,736,0.34757867455482483,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_003_003_003,4,735,1.182842493057251,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.0,0.0,0.9999999975,0.0
001_002_031_001,4,735,0.5657811164855957,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_032_001,3,736,0.347848117351532,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_032_002,3,736,0.35061609745025635,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_032_003,4,735,1.2138090133666992,0.0,0.0,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0
002_001_005_002,3,736,0.3478093147277832,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
002_001_005_003,3,736,0.3472687005996704,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
